player_id,fifa_version,overall,potential,age,height_cm,weight_kg,club_team_id,club_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,goals,assists,club_position_mapped,primary_position,has_multiple_positions,primary_position_mapped,years_remaining,log_value_eur,log_wage_eur,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique
653,23,91.0,91.0,1.3353930307287791,-0.19361217999256766,-0.786092446542025,6,17.0,Right,5.0,4.0,4.0,74.0,88.0,93.0,87.0,64.0,77.0,94.0,85.0,7,18,0,CM,1,24,2.0,2.118835322274725,2.0542708228568527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,23,90.0,90.0,2.6585224005190695,0.6569834532261788,0.8926300424888131,7,7.0,Right,4.0,5.0,5.0,81.0,92.0,78.0,85.0,34.0,75.0,80.0,93.0,1,0,1,ST,0,1,0.0,1.5219752792322088,1.6658691214011865,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
885,23,90.0,90.0,1.114871469097064,1.5075790864449252,2.054822534894778,5,4.0,Right,3.0,2.0,4.0,81.0,60.0,71.0,72.0,91.0,86.0,53.0,52.0,3,1,2,CB,0,11,2.0,2.0615447046781905,1.7030539538333793,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1053,23,90.0,90.0,1.114871469097064,-1.044207813211314,-0.6569599473858067,5,11.0,Left,3.0,4.0,4.0,90.0,89.0,82.0,90.0,45.0,75.0,80.0,93.0,19,12,3,RW,0,3,0.0,2.1632814161364875,1.8371840037181015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
781,23,89.0,89.0,0.8943499074653488,0.08991969774701447,0.2469675467077215,13,7.0,Right,5.0,4.0,4.0,88.0,89.0,82.0,86.0,42.0,69.0,83.0,91.0,10,6,4,LW,1,4,2.0,2.0802155140020826,1.7386559713598235,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
848,23,89.0,89.0,0.6738283458336337,0.7987493920959698,1.667425037426123,13,10.0,Right,5.0,3.0,4.0,68.0,91.0,83.0,82.0,47.0,82.0,80.0,93.0,30,4,1,ST,0,1,1.0,2.1072067815482534,1.7386559713598235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1069,23,89.0,91.0,0.6738283458336337,0.7987493920959698,1.280027539957468,6,31.0,Left,3.0,1.0,3.0,,,,,,,20.0,14.0,0,1,5,GK,0,5,3.0,1.9948996258070726,1.6269541599210429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1144,23,89.0,90.0,0.8943499074653488,1.224047208705343,1.9256900357385596,5,1.0,Right,3.0,1.0,3.0,,,,,,,17.0,13.0,0,1,5,GK,0,5,4.0,1.9280946085966113,1.5432322931767297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1208,23,89.0,89.0,1.3353930307287791,-2.0365693852998517,-0.786092446542025,2,7.0,Right,3.0,2.0,4.0,72.0,66.0,74.0,81.0,87.0,82.0,68.0,65.0,0,1,0,CDM,1,9,0.0,1.8706440114583591,1.6658691214011865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1078,23,88.0,88.0,0.6738283458336337,-0.05184624112277659,-0.2695624499171517,6,7.0,Right,4.0,4.0,3.0,85.0,73.0,85.0,85.0,81.0,73.0,88.0,69.0,2,2,6,LB,1,6,4.0,1.954937270658905,1.7728044390296236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
